Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Мобильные телефоны;;;;;;;;;;;;1;;;;;;;10;;;;;;;;;;;;;;;
!Смартфоны;;;;;;;;;;;;1;;;;;;;761;;;;;;;;;;;;;;;
!!Samsung;;;;;;;;;;;;1;;;;;;;5514;;;;;;;;;;;;;;;
!!!Galaxy A;;;;;;;;;;;;1;;;;;;;11319;;;;;;;;;;;;;;;
!!!!Galaxy A3;;;;;;;;;;;;1;;;;;;;7670;;;;;;;;;;;;;;;
!!!!!2015;;;;;;;;;;;;1;;;;;;;7671;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 2015 SM-A300F ЕСТ White;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a3_2015_sm-a300f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021724b.jpg
Смартфон Samsung Galaxy A3 2015 SM-A300F ЕСТ Black;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a3_2015_sm-a300f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021725b.jpg
!!!!!2016;;;;;;;;;;;;1;;;;;;;7883;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 2016 SM-A310F Pink Gold;;;RUB;13990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a3_2016_sm-a310f_pink_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024250b.jpg
Смартфон Samsung Galaxy A3 2016 SM-A310F White;;;RUB;13990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a3_2016_sm-a310f_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024251b.jpg
Смартфон Samsung Galaxy A3 2016 SM-A310F Gold;;;RUB;13990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a3_2016_sm-a310f_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024249b.jpg
Смартфон Samsung Galaxy A3 2016 SM-A310F Black;;;RUB;13990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a3_2016_sm-a310f_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024248b.jpg
!!!!!2017;;;;;;;;;;;;1;;;;;;;7968;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 2017 SM-A320F Blue;;;RUB;19990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a3_2017_sm-a320f_blue;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027440b.jpg
Смартфон Samsung Galaxy A3 2017 SM-A320F Black;;;RUB;19990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a3_2017_sm-a320f_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027319b.jpg
Смартфон Samsung Galaxy A3 2017 SM-A320F Gold;;;RUB;19990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a3_2017_sm-a320f_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027415b.jpg
!!!!Galaxy A5;;;;;;;;;;;;1;;;;;;;7313;;;;;;;;;;;;;;;
!!!!!2015;;;;;;;;;;;;1;;;;;;;11253;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A5 2015 SM-A500F ЕСТ White;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a5_2015_sm-a500f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021707b.jpg
Смартфон Samsung Galaxy A5 2015 SM-A500F ЕСТ Black;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a5_2015_sm-a500f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021705b.jpg
!!!!!2016;;;;;;;;;;;;1;;;;;;;11254;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A5 2016 SM-A510F Pink Gold;;;RUB;19990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a5_2016_sm-a510f_pink_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024245b.jpg
Смартфон Samsung Galaxy A5 2016 SM-A510F White;;;RUB;19990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a5_2016_sm-a510f_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024247b.jpg
Смартфон Samsung Galaxy A5 2016 SM-A510F Gold;;;RUB;24990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a5_2016_sm-a510f_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024244b.jpg
Смартфон Samsung Galaxy A5 2016 SM-A510F Black;;;RUB;24990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a5_2016_sm-a510f_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024246b.jpg
Смартфон Samsung Galaxy A5 2016 SM-A510F ЕСТ Black;;;RUB;24990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a5_2016_sm-a510f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024246b.jpg
Смартфон Samsung Galaxy A5 2016 SM-A510F ЕСТ White;;;RUB;19990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a5_2016_sm-a510f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024247b.jpg
!!!!!2017;;;;;;;;;;;;1;;;;;;;11255;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A5 2017 SM-A520F Black;;;RUB;24990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a5_2017_sm-a520f_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027403b.jpg
Смартфон Samsung Galaxy A5 2017 SM-A520F Gold;;;RUB;24990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a5_2017_sm-a520f_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027402b.jpg
!!!!Galaxy A7;;;;;;;;;;;;1;;;;;;;7125;;;;;;;;;;;;;;;
!!!!!2015;;;;;;;;;;;;1;;;;;;;11256;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A7 2015 SM-A700F ЕСТ Gold;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a7_2015_sm-a700f_est_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30022157b.jpg
Смартфон Samsung Galaxy A7 2015 SM-A700F ЕСТ Black;;;RUB;8990;1;0;0;0;;;;1;2015;;;;;;smartfon_samsung_galaxy_a7_2015_sm-a700f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021804b.jpg
!!!!!2016;;;;;;;;;;;;1;;;;;;;11257;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A7 2016 SM-A710F ЕСТ White;;;RUB;8990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a7_2016_sm-a710f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024214b.jpg
Смартфон Samsung Galaxy A7 2016 SM-A710F ЕСТ Black;;;RUB;8990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a7_2016_sm-a710f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024212b.jpg
Смартфон Samsung Galaxy A7 2016 SM-A710F ЕСТ Gold;;;RUB;8990;1;0;0;0;;;;1;2016;;;;;;smartfon_samsung_galaxy_a7_2016_sm-a710f_est_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024213b.jpg
!!!!!2017;;;;;;;;;;;;1;;;;;;;11258;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A7 2017 SM-A720 Black;;;RUB;29990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a7_2017_sm-a720_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027441b.jpg
Смартфон Samsung Galaxy A7 2017 SM-A720 Gold;;;RUB;29990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a7_2017_sm-a720_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027416b.jpg
Смартфон Samsung Galaxy A7 2017 SM-A720 Blue;;;RUB;29990;1;0;0;0;;;;1;2017;;;;;;smartfon_samsung_galaxy_a7_2017_sm-a720_blue;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027442b.jpg
!!!Galaxy J;;;;;;;;;;;;1;;;;;;;11320;;;;;;;;;;;;;;;
!!!!Galaxy J1;;;;;;;;;;;;1;;;;;;;10515;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy J1 2016 SM-J120F White;;;RUB;6990;1;0;0;0;;;;1;Galaxy J1;;;;;;smartfon_samsung_galaxy_j1_2016_sm-j120f_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024595b.jpg
Смартфон Samsung Galaxy J1 2016 SM-J120F Gold;;;RUB;6990;1;0;0;0;;;;1;Galaxy J1;;;;;;smartfon_samsung_galaxy_j1_2016_sm-j120f_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024594b.jpg
Смартфон Samsung Galaxy J1 2016 SM-J120F Black;;;RUB;6990;1;0;0;0;;;;1;Galaxy J1;;;;;;smartfon_samsung_galaxy_j1_2016_sm-j120f_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024596b.jpg
!!!!Galaxy J2;;;;;;;;;;;;1;;;;;;;6023;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy J2 Prime SM-G532 Silver;;;RUB;8990;1;0;0;0;;;;1;Galaxy J2;;;;;;smartfon_samsung_galaxy_j2_prime_sm-g532_silver;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30026717b.jpg
Смартфон Samsung Galaxy J2 Prime SM-G532 Black;;;RUB;8990;1;0;0;0;;;;1;Galaxy J2;;;;;;smartfon_samsung_galaxy_j2_prime_sm-g532_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30026715b.jpg
Смартфон Samsung Galaxy J2 Prime SM-G532 Gold;;;RUB;8990;1;0;0;0;;;;1;Galaxy J2;;;;;;smartfon_samsung_galaxy_j2_prime_sm-g532_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30026716b.jpg
!!!!Galaxy J3;;;;;;;;;;;;1;;;;;;;7330;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy J3 2016 SM-J320F/DS White;;;RUB;9990;1;0;0;0;;;;1;Galaxy J3;;;;;;smartfon_samsung_galaxy_j3_2016_sm-j320f_ds_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024755b.jpg
Смартфон Samsung Galaxy J3 2016 SM-J320F/DS Gold;;;RUB;9990;1;0;0;0;;;;1;Galaxy J3;;;;;;smartfon_samsung_galaxy_j3_2016_sm-j320f_ds_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024754b.jpg
Смартфон Samsung Galaxy J3 2016 SM-J320F/DS Black;;;RUB;9990;1;0;0;0;;;;1;Galaxy J3;;;;;;smartfon_samsung_galaxy_j3_2016_sm-j320f_ds_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024751b.jpg
!!!!Galaxy J5;;;;;;;;;;;;1;;;;;;;7359;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy J5 2016 SM-J510F Gold;;;RUB;13990;1;0;0;0;;;;1;Galaxy J5;;;;;;smartfon_samsung_galaxy_j5_2016_sm-j510f_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025143b.jpg
Смартфон Samsung Galaxy J5 2016 SM-J510F Black;;;RUB;13990;1;0;0;0;;;;1;Galaxy J5;;;;;;smartfon_samsung_galaxy_j5_2016_sm-j510f_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025142b.jpg
Смартфон Samsung Galaxy J5 2016 SM-J510F White;;;RUB;13990;1;0;0;0;;;;1;Galaxy J5;;;;;;smartfon_samsung_galaxy_j5_2016_sm-j510f_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025144b.jpg
!!!!Galaxy J7;;;;;;;;;;;;1;;;;;;;7390;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy J7 2016 SM-J710 Gold;;;RUB;15990;1;0;0;0;;;;1;Galaxy J7;;;;;;smartfon_samsung_galaxy_j7_2016_sm-j710_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025140b.jpg
Смартфон Samsung Galaxy J7 2016 SM-J710 Black;;;RUB;15990;1;0;0;0;;;;1;Galaxy J7;;;;;;smartfon_samsung_galaxy_j7_2016_sm-j710_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025109b.jpg
!!!Galaxy S;;;;;;;;;;;;1;;;;;;;11321;;;;;;;;;;;;;;;
!!!!Galaxy S3;;;;;;;;;;;;1;;;;;;;11259;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S3 GT-I9300 ЕСТ Black;;;RUB;39990;1;0;0;0;;;;1;Galaxy S3;;;;;;smartfon_samsung_galaxy_s3_gt-i9300_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021486b.jpg
Смартфон Samsung Galaxy S3 GT-I9300 ЕСТ Blue;;;RUB;39990;1;0;0;0;;;;1;Galaxy S3;;;;;;smartfon_samsung_galaxy_s3_gt-i9300_est_blue;;;;;;;;;;;;;;;http://iphone-ipad-shop.ru/data/big/30017653b_4.jpg
Смартфон Samsung Galaxy S3 GT-I9300 ЕСТ White;;;RUB;39990;1;0;0;0;;;;1;Galaxy S3;;;;;;smartfon_samsung_galaxy_s3_gt-i9300_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30015386b.jpg
!!!!Galaxy S4;;;;;;;;;;;;1;;;;;;;11260;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S4 GT-I9505 ЕСТ Black;;;RUB;39990;1;0;0;0;;;;1;Galaxy S4;;;;;;smartfon_samsung_galaxy_s4_gt-i9505_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30017520b.jpg
Смартфон Samsung Galaxy S4 GT-I9505 ЕСТ White;;;RUB;39990;1;0;0;0;;;;1;Galaxy S4;;;;;;smartfon_samsung_galaxy_s4_gt-i9505_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30017429b.jpg
!!!!Galaxy S5;;;;;;;;;;;;1;;;;;;;11261;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S5 SM-G900F ЕСТ Black;;;RUB;39990;1;0;0;0;;;;1;Galaxy S5;;;;;;smartfon_samsung_galaxy_s5_sm-g900f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021003b.jpg
Смартфон Samsung Galaxy S5 SM-G900F ЕСТ White;;;RUB;39990;1;0;0;0;;;;1;Galaxy S5;;;;;;smartfon_samsung_galaxy_s5_sm-g900f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021659b.jpg
!!!!Galaxy S6;;;;;;;;;;;;1;;;;;;;11262;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S6 SM-G920F ЕСТ Black Sapphire;;;RUB;39990;1;0;0;0;;;;1;Galaxy S6;;;;;;smartfon_samsung_galaxy_s6_sm-g920f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30022041b.jpg
Смартфон Samsung Galaxy S6 SM-G920F ЕСТ White Pearl;;;RUB;39990;1;0;0;0;;;;1;Galaxy S6;;;;;;smartfon_samsung_galaxy_s6_sm-g920f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30022040b.jpg
Смартфон Samsung Galaxy S6 SM-G920F ЕСТ Gold Platinum;;;RUB;39990;1;0;0;0;;;;1;Galaxy S6;;;;;;smartfon_samsung_galaxy_s6_sm-g920f_est_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30022129b.jpg
!!!!Galaxy S6 Edge;;;;;;;;;;;;1;;;;;;;11263;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S6 Edge ЕСТ SM-G925F Black Sapphire;;;RUB;39990;1;0;0;0;;;;1;Galaxy S6 Edge;;;;;;smartfon_samsung_galaxy_s6_sm-g925f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/small_pic/480/30022043b.jpg
Смартфон Samsung Galaxy S6 Edge ЕСТ SM-G925F White Pearl;;;RUB;39990;1;0;0;0;;;;1;Galaxy S6 Edge;;;;;;smartfon_samsung_galaxy_s6_sm-g925f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30022042b.jpg
Смартфон Samsung Galaxy S6 Edge ЕСТ SM-G925F Gold Platinum;;;RUB;39990;1;0;0;0;;;;1;Galaxy S6 Edge;;;;;;smartfon_samsung_galaxy_s6_sm-g925f_est_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30022123b.jpg
!!!!Galaxy S7;;;;;;;;;;;;1;;;;;;;5526;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S7 32Gb Duos SM-G930FD Silver Titanium;;;RUB;39990;1;0;0;0;;;;1;Galaxy S7;;;;;;smartfon_samsung_galaxy_s7_32gb_duos_sm-g930fd_silver_titanium;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024650b.jpg
Смартфон Samsung Galaxy S7 32Gb Duos SM-G930FD Black Onyx;;;RUB;39990;1;0;0;0;;;;1;Galaxy S7;;;;;;smartfon_samsung_galaxy_s7_32gb_duos_sm-g930fd_black_onyx;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024649b.jpg
Смартфон Samsung Galaxy S7 32Gb Duos SM-G930FD Gold Platinum;;;RUB;39990;1;0;0;0;;;;1;Galaxy S7;;;;;;smartfon_samsung_galaxy_s7_32gb_duos_sm-g930fd_gold_platinum;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024651b.jpg
Смартфон Samsung Galaxy S7 32Gb SM-G930F ЕСТ Black Onyx;;;RUB;39990;1;0;0;0;;;;1;Galaxy S7;;;;;;smartfon_samsung_galaxy_s7_32gb_sm-g930f_est_black_onyx;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024649b.jpg
Смартфон Samsung Galaxy S7 32Gb SM-G930F ЕСТ Gold Platinum;;;RUB;39990;1;0;0;0;;;;1;Galaxy S7;;;;;;smartfon_samsung_galaxy_s7_32gb_sm-g930f_est_gold_platinum;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024651b.jpg
!!!!Galaxy S7 Edge;;;;;;;;;;;;1;;;;;;;6130;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S7 Edge 32Gb Duos SM-G935FD Gold Platinum;;;RUB;49990;1;0;0;0;;;;1;Galaxy S7 Edge;;;;;;smartfon_samsung_galaxy_s7_edge_32gb_duos_sm-g935fd_gold_platinum;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024652b.jpg
Смартфон Samsung Galaxy S7 Edge 32Gb Duos SM-G935FD Black Onyx;;;RUB;49990;1;0;0;0;;;;1;Galaxy S7 Edge;;;;;;smartfon_samsung_galaxy_s7_edge_32gb_duos_sm-g935fd_black_onyx;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024653b.jpg
Смартфон Samsung Galaxy S7 Edge 32Gb Duos SM-G935FD Silver Titanium;;;RUB;49990;1;0;0;0;;;;1;Galaxy S7 Edge;;;;;;smartfon_samsung_galaxy_s7_edge_32gb_duos_sm-g935fd_silver_titanium;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024654b.jpg
Смартфон Samsung Galaxy S7 Edge 32Gb SM-G935F ЕСТ Black Onyx;;;RUB;49990;1;0;0;0;;;;1;Galaxy S7 Edge;;;;;;smartfon_samsung_galaxy_s7_edge_32gb_sm-g935f_est_black_onyx;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024653b.jpg
!!!!Galaxy S8;;;;;;;;;;;;1;;;;;;;9658;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S8 64Gb Желтый топаз;;;RUB;54990;1;0;0;0;;;;1;Galaxy S8;;;;;;smartfon_samsung_galaxy_s8_64gb_zheltyy_topaz;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027819b.jpg
Смартфон Samsung Galaxy S8 64Gb Мистический аметист;;;RUB;54990;1;0;0;0;;;;1;Galaxy S8;;;;;;smartfon_samsung_galaxy_s8_64gb_misticheskiy_ametist;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027820b.jpg
Смартфон Samsung Galaxy S8 64Gb Черный бриллиант;;;RUB;54990;1;0;0;0;;;;1;Galaxy S8;;;;;;smartfon_samsung_galaxy_s8_64gb_chernyy_brilliant;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027818b.jpg
!!!!Galaxy S8+;;;;;;;;;;;;1;;;;;;;9655;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy S8+ 64Gb Желтый топаз;;;RUB;59990;1;0;0;0;;;;1;Galaxy S8+;;;;;;smartfon_samsung_galaxy_s8+_64gb_zheltyy_topaz;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027822b.jpg
Смартфон Samsung Galaxy S8+ 64Gb Черный бриллиант;;;RUB;59990;1;0;0;0;;;;1;Galaxy S8+;;;;;;smartfon_samsung_galaxy_s8+_64gb_chernyy_brilliant;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027821b.jpg
Смартфон Samsung Galaxy S8+ 64Gb Мистический аметист;;;RUB;59990;1;0;0;0;;;;1;Galaxy S8+;;;;;;smartfon_samsung_galaxy_s8+_64gb_misticheskiy_ametist;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30027823b.jpg
!!!Galaxy Note;;;;;;;;;;;;1;;;;;;;11322;;;;;;;;;;;;;;;
!!!!Galaxy Note 3;;;;;;;;;;;;1;;;;;;;11264;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy Note 3 SM-N900 ЕСТ Black;;;RUB;39990;1;0;0;0;;;;1;Galaxy Note 3;;;;;;smartfon_samsung_galaxy_note3_sm-n900_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30019783b.jpg
Смартфон Samsung Galaxy Note 3 SM-N900 ЕСТ White;;;RUB;39990;1;0;0;0;;;;1;Galaxy Note 3;;;;;;smartfon_samsung_galaxy_note3_sm-n900_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30019364b.jpg
!!!!Galaxy Note 4;;;;;;;;;;;;1;;;;;;;11265;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy Note 4 SM-N910F ЕСТ Black;;;RUB;39990;1;0;0;0;;;;1;Galaxy Note 4;;;;;;smartfon_samsung_galaxy_note3_sm-n910f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021152b.jpg
Смартфон Samsung Galaxy Note 4 SM-N910F ЕСТ White;;;RUB;39990;1;0;0;0;;;;1;Galaxy Note 4;;;;;;smartfon_samsung_galaxy_note3_sm-n910f_est_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30021151b.jpg
!!!!Galaxy Note 5;;;;;;;;;;;;1;;;;;;;11265;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy Note 5 SM-N920F ЕСТ Black;;;RUB;39990;1;0;0;0;;;;1;Galaxy Note 5;;;;;;smartfon_samsung_galaxy_note5_sm-n920f_est_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30023758b.jpg
!!Huawei;;;;;;;;;;;;1;;;;;;;5591;;;;;;;;;;;;;;;
!!!Ascend;;;;;;;;;;;;1;;;;;;;10410;;;;;;;;;;;;;;;
Смартфон Huawei Ascend Y6 White;;;RUB;8990;1;0;0;0;;;;1;Ascend;;;;;;smartfon_huawei_ascend_y6_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30023923b.jpg
!!!GR3;;;;;;;;;;;;1;;;;;;;8718;;;;;;;;;;;;;;;
Смартфон Huawei GR3 LTE Grey;;;RUB;8990;1;0;0;0;;;;1;GR3;;;;;;smartfon_huawei_gr3_lte_grey;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025419b.jpg
Смартфон Huawei GR3 LTE Gold;;;RUB;8990;1;0;0;0;;;;1;GR3;;;;;;smartfon_huawei_gr3_lte_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025418b.jpg
!!!Honor;;;;;;;;;;;;1;;;;;;;5592;;;;;;;;;;;;;;;
!!!!4C;;;;;;;;;;;;1;;;;;;;5593;;;;;;;;;;;;;;;
Смартфон Huawei Honor 4C Pro Gold;;;RUB;9990;1;0;0;0;;;;1;4C;;;;;;smartfon_huawei_honor_4c_pro_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025023b.jpg
Смартфон Huawei Honor 4C Pro White;;;RUB;9990;1;0;0;0;;;;1;4C;;;;;;smartfon_huawei_honor_4c_pro_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025021b.jpg
Смартфон Huawei Honor 4C Pro Grey;;;RUB;9990;1;0;0;0;;;;1;4C;;;;;;smartfon_huawei_honor_4c_pro_grey;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025022b.jpg
!!!!5X;;;;;;;;;;;;1;;;;;;;9358;;;;;;;;;;;;;;;
Смартфон Huawei Honor 5X Grey;;;RUB;11990;1;0;0;0;;;;1;5X;;;;;;smartfon_huawei_honor_5x_grey;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024277b.jpg
Смартфон Huawei Honor 5X Silver;;;RUB;11990;1;0;0;0;;;;1;5X;;;;;;smartfon_huawei_honor_5x_silver;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024275b.jpg
Смартфон Huawei Honor 5X Gold;;;RUB;11990;1;0;0;0;;;;1;5X;;;;;;smartfon_huawei_honor_5x_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30024276b.jpg
!!!!5А;;;;;;;;;;;;1;;;;;;;7457;;;;;;;;;;;;;;;
Смартфон Huawei Honor 5А Gold;;;RUB;7990;1;0;0;0;;;;1;5А;;;;;;smartfon_huawei_honor_5a_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30026026b.jpg
Смартфон Huawei Honor 5А Black;;;RUB;7990;1;0;0;0;;;;1;5А;;;;;;smartfon_huawei_honor_5a_black;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30026025b.jpg
Смартфон Huawei Honor 5А White;;;RUB;7990;1;0;0;0;;;;1;5А;;;;;;smartfon_huawei_honor_5a_white;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30026147b.jpg
!!!!5С;;;;;;;;;;;;1;;;;;;;5773;;;;;;;;;;;;;;;
Смартфон Huawei Honor 5С Silver;;;RUB;11490;1;0;0;0;;;;1;5С;;;;;;smartfon_huawei_honor_5s_silver;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/30025688b.jpg
