Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Чехол для сотового телефона Araree J2 prime бирюзовый;;;RUB;990;1;0;0;0;;;;1;J2;;;;;;chehol_dlya_sotovogo_telefona_araree_j2_prime_biryuzovyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048872b.jpg
Чехол для сотового телефона Araree J2 prime прозрачный;;;RUB;990;1;0;0;0;;;;1;J2;;;;;;chehol_dlya_sotovogo_telefona_araree_j2_prime_prozrachnyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048870b.jpg
!!!!J5;;;;;;;;;;;;1;;;;;;;11133;;;;;;;;;;;;;;;
Чехол для сотового телефона Araree J5 prime Silver;;;RUB;1690;1;0;0;0;;;;1;J5;;;;;;chehol_dlya_sotovogo_telefona_araree_j5_prime_silver;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048869b.jpg
Чехол для сотового телефона Araree J5 prime Gold;;;RUB;1690;1;0;0;0;;;;1;J5;;;;;;chehol_dlya_sotovogo_telefona_araree_j5_prime_gold;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048868b.jpg
!!!Cellular Line;;;;;;;;;;;;1;;;;;;;5533;;;;;;;;;;;;;;;
!!!!ARMBANDFIT52K;;;;;;;;;;;;1;;;;;;;10972;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line ARMBANDFIT52K;;;RUB;1890;1;0;0;0;;;;1;ARMBANDFIT52K;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_armbandfit52k;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048487b.jpg
!!!!ARMBANDRUN52K;;;;;;;;;;;;1;;;;;;;10971;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line ARMBANDRUN52K;;;RUB;1590;1;0;0;0;;;;1;ARMBANDRUN52K;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_armbandrun52k;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048488b.jpg
!!!!ARMBANDRUN52L;;;;;;;;;;;;1;;;;;;;9918;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line ARMBANDRUN52L;;;RUB;2790;1;0;0;0;;;;1;ARMBANDRUN52L;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_armbandrun52l;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048489b.jpg
!!!!Samsung;;;;;;;;;;;;1;;;;;;;5583;;;;;;;;;;;;;;;
Чехол для сотового телефона Cellular Line Samsung Galaxy S7 Edge;;;RUB;1290;1;0;0;0;;;;1;Samsung;;;;;;chehol_dlya_sotovogo_telefona_cellular_line_samsung_galaxy_s7_edge;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50045162b.jpg
!!!!WAISTBANDVIEWB;;;;;;;;;;;;1;;;;;;;10967;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line WAISTBANDVIEWB;;;RUB;1890;1;0;0;0;;;;1;WAISTBANDVIEWB;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_waistbandviewb;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048490b.jpg
!!!!WAISTBANDVIEWK;;;;;;;;;;;;1;;;;;;;8975;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line WAISTBANDVIEWK;;;RUB;2190;1;0;0;0;;;;1;WAISTBANDVIEWK;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_waistbandviewk;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048491b.jpg
!!!!WAISTBANDVIEWL;;;;;;;;;;;;1;;;;;;;8976;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line WAISTBANDVIEWL;;;RUB;2190;1;0;0;0;;;;1;WAISTBANDVIEWL;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_waistbandviewl;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048492b.jpg
!!!!WAISTBANDVIEWP;;;;;;;;;;;;1;;;;;;;8977;;;;;;;;;;;;;;;
Спортивный чехол для сотового телефона Cellular Line WAISTBANDVIEWP;;;RUB;2190;1;0;0;0;;;;1;WAISTBANDVIEWP;;;;;;sportivnyy_chehol_dlya_sotovogo_telefona_cellular_line_waistbandviewp;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048493b.jpg
!!!!iPhone;;;;;;;;;;;;1;;;;;;;5534;;;;;;;;;;;;;;;
Кейс для iPhone Cellular Line iPhone 5s/SE;;;RUB;1190;1;0;0;0;;;;1;iPhone;;;;;;keys_dlya_iphone_cellular_line_iphone_5s_se;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50044722b.jpg
Кейс для iPhone Cellular Line iPhone 7;;;RUB;1890;1;0;0;0;;;;1;iPhone;;;;;;keys_dlya_iphone_cellular_line_iphone_7;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50047740b.jpg
Кейс для iPhone Cellular Line iPhone 6;;;RUB;990;1;0;0;0;;;;1;iPhone;;;;;;keys_dlya_iphone_cellular_line_iphone_6;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048499b.jpg
Кейс для iPhone Cellular Line iPhone 7 Plus;;;RUB;1190;1;0;0;0;;;;1;iPhone;;;;;;keys_dlya_iphone_cellular_line_iphone_7_plus;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50047743b.jpg
!!!Cozistyle;;;;;;;;;;;;1;;;;;;;8095;;;;;;;;;;;;;;;
!!!!iPhone 6S;;;;;;;;;;;;1;;;;;;;8097;;;;;;;;;;;;;;;
Кейс для iPhone Cozistyle iPhone 6S светло-коричн/серебряный;;;RUB;2790;1;0;0;0;;;;1;iPhone 6S;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_svetlo-korichn_serebryanyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048137b.jpg
Кейс для iPhone Cozistyle iPhone 6S черный;;;RUB;2790;1;0;0;0;;;;1;iPhone 6S;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_chernyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048136b.jpg
Кейс для iPhone Cozistyle iPhone 6S темно-коричневый;;;RUB;2790;1;0;0;0;;;;1;iPhone 6S;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_temno-korichnevyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048135b.jpg
Кейс для iPhone Cozistyle iPhone 6S светло-коричневый;;;RUB;2790;1;0;0;0;;;;1;iPhone 6S;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_svetlo-korichnevyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048134b.jpg
Кейс для iPhone Cozistyle iPhone 6S черный/серебряный;;;RUB;2790;1;0;0;0;;;;1;iPhone 6S;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_chernyy_serebryanyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048139b.jpg
Кейс для iPhone Cozistyle iPhone 6S темно-коричн/серебряный;;;RUB;2790;1;0;0;0;;;;1;iPhone 6S;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_temno-korichn_serebryanyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048138b.jpg
!!!!iPhone 6S Plus;;;;;;;;;;;;1;;;;;;;8102;;;;;;;;;;;;;;;
Кейс для iPhone Cozistyle iPhone 6S Plus черный;;;RUB;2990;1;0;0;0;;;;1;iPhone 6S Plus;;;;;;keys_dlya_iphone_cozistyle_iphone_6s_plus_chernyy;;;;;;;;;;;;;;;http://img.mvideo.ru/Pdb/50048133b.jpg
