Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Apple iPhone 5S 32Gb Space Gray;Казань;;RUB;8500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;32Gb;;;;;;smartfon_dct_apple_iphone_5s_32gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/SpaceGray/img.jpg
Apple iPhone 5S 32Gb Gold;Москва;;RUB;8500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;32Gb;;;;;;smartfon_dct_apple_iphone_5s_32gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/Gold/img.jpg
Apple iPhone 5S 32Gb Silver;Москва;;RUB;8500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;32Gb;;;;;;smartfon_dct_apple_iphone_5s_32gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/Silver/img.jpg
Apple iPhone 5S 32Gb Space Gray;Москва;;RUB;8500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4", разрешение 1136x640<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, Wi-Fi, Bluetooth, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>аккумулятор 1560 мА?ч<br>вес 112 г, ШxВxТ 58.60x123.80x7.60 мм</strong></font>;;1;32Gb;;;;;;smartfon_dct_apple_iphone_5s_32gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/5S/SpaceGray/img.jpg
!!!6;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_6;;;;;;;;;;;;;;;
!!!!64Gb;;;;;;;;;;;;1;;;;;;;smartfon_dct_apple_iphone_6_64gb;;;;;;;;;;;;;;;
Apple iPhone 6 64Gb Gold;Казань;;RUB;13500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>вес 129 г, ШxВxТ 67x138.10x6.90 мм</strong></font>;;1;64Gb;;;;;;smartfon_dct_apple_iphone_6_64gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6/Gold/img.jpg
Apple iPhone 6 64Gb Silver;Казань;;RUB;13500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>вес 129 г, ШxВxТ 67x138.10x6.90 мм</strong></font>;;1;64Gb;;;;;;smartfon_dct_apple_iphone_6_64gb_silver;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6/Silver/img.jpg
Apple iPhone 6 64Gb Space Gray;Казань;;RUB;13500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>вес 129 г, ШxВxТ 67x138.10x6.90 мм</strong></font>;;1;64Gb;;;;;;smartfon_dct_apple_iphone_6_64gb_space_gray;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6/SpaceGray/img.jpg
Apple iPhone 6 64Gb Gold;Москва;;RUB;13500;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, iOS 10<br>экран 4.7", разрешение 1334x750<br>камера 8 МП, автофокус, F/2.2<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1 Гб<br>вес 129 г, ШxВxТ 67x138.10x6.90 мм</strong></font>;;1;64Gb;;;;;;smartfon_dct_apple_iphone_6_64gb_gold;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Apple/iPhone/6/Gold/img.jpg
