Наименование;Наименование артикула;Код артикула;Валюта;Цена;Доступен для заказа;Зачеркнутая цена;Закупочная цена;В наличии;Краткое описание;Описание;Наклейка;Статус;Тип товаров;Теги;Облагается налогом;Заголовок;META Keywords;META Description;Ссылка на витрину;Адрес видео на YouTube или Vimeo;Дополнительные параметры;Производитель;Программная платформа;Тип корпуса;Кол-во SIM-карт;Размер экрана;Объем встроенной памяти;Материал;Сенсорный экран;Кол-во мегапикселов камеры;Разрешение камеры;Вес;Цвет;Изображения
Смартфон Samsung Galaxy A3 (2016) 16Gb Black (восстановлен);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;12770;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2016);;;;;;14274;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2016)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2016) 16Gb Black (восстановлен);cамовывоз Москва (курьерская доставка: +400₽);;RUB;11780;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2016);;;;;;14274;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2016)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2016) 16Gb White (восстановлен);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;12770;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2016);;;;;;14275;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2016)/White/img.jpg
Смартфон Samsung Galaxy A3 (2016) 16Gb White (восстановлен);cамовывоз Москва (курьерская доставка: +400₽);;RUB;11780;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2016);;;;;;14275;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2016)/White/img.jpg
Смартфон Samsung Galaxy A3 (2016) 16Gb Gold (восстановлен);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;12770;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2016);;;;;;14276;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2016)/Gold/img.jpg
Смартфон Samsung Galaxy A3 (2016) 16Gb Gold (восстановлен);cамовывоз Москва (курьерская доставка: +400₽);;RUB;11780;1;0;0;10;;<font maxId="4"><strong>﻿смартфон, Android 5.1<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 1.50 Гб<br>аккумулятор 2300 мА?ч<br>вес 132 г, ШxВxТ 65.20x134.50x7.30 мм<br><br>Доп. информация о товаре: восстановлен до состояния нового, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2016);;;;;;14276;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2016)/Gold/img.jpg
!!!!A3 (2017);;;;;;;;;;;;1;;;;;;;10511;;;;;;;;;;;;;;;
Смартфон Samsung Galaxy A3 (2017) 16Gb Black (новый);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;18400;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, с полной официальной гарантией производителя 1 год в РФ</strong></font>;;1;A3 (2017);;;;;;14142;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Black (новый);cамовывоз Москва (курьерская доставка: +400₽);;RUB;17600;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, с полной официальной гарантией производителя 1 год в РФ</strong></font>;;1;A3 (2017);;;;;;14142;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Black/img.jpg
Смартфон Samsung Galaxy A3 (2017) 16Gb Black (новый);cамовывоз Регионы (курьерская доставка: +300₽);;RUB;16330;1;0;0;10;;<font maxId="4"><strong>﻿смартфон на платформе Android<br>экран 4.7", разрешение 1280x720<br>камера 13 МП, автофокус, F/1.9<br>слот для карты памяти<br>3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС<br>объем оперативной памяти 2 Гб<br>аккумулятор 2350 мА?ч<br>вес 138 г, ШxВxТ 66.20x135.40x7.90 мм<br><br>Доп. информация о товаре: новый, без официальной гарантии производителя в РФ</strong></font>;;1;A3 (2017);;;;;;14201;;;;;;;;;;;;;;;https://raw.githubusercontent.com/bav735/iSPARK/master/images/Samsung/Galaxy/A3(2017)/Black/img.jpg
